"game","model_tag","marker","instance","node","translation_x","translation_y","translation_z","rotation_i","rotation_j","rotation_k","rotation_w","scale","direction_x","direction_y","direction_z"
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent02","1","2","0.100334","0.001066","0.005618","0.500000","-0.500000","-0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent03","0","2","0.069206","0.001066","0.043679","0.500000","0.500000","0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent03","1","2","0.070036","0.001066","0.005618","0.500000","-0.500000","-0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent04","0","2","0.040429","0.001066","0.043679","0.500000","0.500000","0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent04","1","2","0.041259","0.001066","0.005618","0.500000","-0.500000","-0.500000","-0.500000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent05","0","0","0.123668","0.029382","0.000136","0.000000","0.000000","-0.707107","-0.707107","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\beam_rifle\fp_beam_rifle\fp_beam_rifle","vent05","1","0","0.122837","-0.028679","0.000136","-0.000000","0.000000","0.707107","-0.707107","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","muzzle_flash","0","0","0.010323","0.115015","0.020535","0.000000","0.000000","0.707107","-0.707107","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","primary_trigger","0","0","0.105911","0.000160","0.020737","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","primary_trigger1","0","0","0.105911","-0.000160","-0.019406","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","secondary_trigger","0","0","0.083826","0.000000","0.000810","-0.000000","0.000000","-1.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","0","0","0.006817","0.014034","0.037515","-0.000000","0.000000","-0.608761","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","1","0","-0.010902","0.014034","0.037515","-0.000000","0.000000","-0.675590","-0.737277","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","2","0","-0.028622","0.014034","0.037515","-0.000000","0.000000","-0.737277","-0.675590","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","3","0","-0.046341","0.014034","0.037515","-0.000000","0.000000","-0.793353","-0.608761","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","4","0","-0.010902","-0.014030","0.037515","-0.000000","-0.000000","0.675590","-0.737277","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","5","0","-0.028622","-0.014030","0.037515","-0.000000","-0.000000","0.737277","-0.675590","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","6","0","-0.046341","-0.014030","0.037515","0.000000","-0.000000","0.793353","-0.608762","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\brute_plasma_rifle\fp_brute_plasma_rifle\fp_brute_plasma_rifle","vent","7","0","0.006817","-0.014030","0.037515","-0.000000","-0.000000","0.608761","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\fp_covenant_carbine\fp_covenant_carbine","muzzle_break","0","0","0.105366","0.020903","-0.015745","0.000000","0.000000","-0.500000","-0.866025","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\fp_covenant_carbine\fp_covenant_carbine","muzzle_break","1","0","0.105366","-0.020900","-0.015745","0.000000","0.000000","0.500000","-0.866025","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\fp_covenant_carbine\fp_covenant_carbine","primary_ejection","0","0","0.022669","0.000000","0.024565","-0.258819","0.000000","-0.965926","-0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\fp_covenant_carbine\fp_covenant_carbine","primary_trigger","0","0","0.288103","0.000000","-0.015745","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\covenant_carbine\fp_covenant_carbine\fp_covenant_carbine","smoke","0","0","0.282015","0.000000","-0.015745","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\gpmg\fp_gpmg\fp_gpmg","primary_ejection","0","0","0.053956","-0.014970","0.004167","0.102035","0.086003","0.506048","-0.852119","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\gpmg\fp_gpmg\fp_gpmg","primary_trigger","0","0","0.321042","0.000000","0.000342","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","muzzle_flash","0","0","0.010323","0.115015","0.020535","0.000000","0.000000","0.707107","-0.707107","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","primary_trigger","0","0","0.105911","0.000160","0.020737","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","primary_trigger1","0","0","0.105911","-0.000160","-0.019406","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","secondary_trigger","0","0","0.083826","0.000000","0.000810","-0.000000","0.000000","-1.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","0","0","0.006817","0.014034","0.037515","-0.000000","0.000000","-0.608761","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","1","0","-0.010902","0.014034","0.037515","-0.000000","0.000000","-0.675590","-0.737277","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","2","0","-0.028622","0.014034","0.037515","-0.000000","0.000000","-0.737277","-0.675590","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","3","0","-0.046341","0.014034","0.037515","-0.000000","0.000000","-0.793353","-0.608761","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","4","0","-0.010902","-0.014030","0.037515","-0.000000","-0.000000","0.675590","-0.737277","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","5","0","-0.028622","-0.014030","0.037515","-0.000000","-0.000000","0.737277","-0.675590","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","6","0","-0.046341","-0.014030","0.037515","0.000000","-0.000000","0.793353","-0.608762","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\plasma_rifle\fp_plasma_rifle\fp_plasma_rifle","vent","7","0","0.006817","-0.014030","0.037515","-0.000000","-0.000000","0.608761","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\shotgun\fp_shotgun\fp_shotgun","primary_ejection","0","0","-0.079603","-0.013796","-0.003522","-0.627211","0.326506","0.379928","-0.596368","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\shotgun\fp_shotgun\fp_shotgun","primary_trigger","0","0","0.169144","0.000000","-0.003689","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\smg_silenced\fp_smg_silenced\fp_smg_silenced","primary_trigger","0","0","0.150726","0.000000","0.026458","0.000000","0.000000","0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\smg\fp_smg\fp_smg","primary_trigger","0","0","0.100726","0.000000","0.026458","0.000000","0.000000","0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\sniper_rifle\fp_sniper_rifle\fp_sniper_rifle","muzzle_brake","0","0","0.373260","-0.012000","0.005631","0.000000","-0.000000","0.608761","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\sniper_rifle\fp_sniper_rifle\fp_sniper_rifle","muzzle_brake","1","0","0.373260","0.012010","0.005631","0.000000","0.000000","-0.608762","-0.793353","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\sniper_rifle\fp_sniper_rifle\fp_sniper_rifle","primary_ejection","0","0","0.007950","-0.012209","0.007921","-0.508650","0.491198","0.369462","-0.602908","0.000000","","",""
"Halo 2 Classic","objects\weapons\rifle\sniper_rifle\fp_sniper_rifle\fp_sniper_rifle","primary_trigger","0","0","0.393220","0.000000","0.005800","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\flak_cannon\flak_cannon","primary_ejection","0","0","0.070085","-0.025000","0.051727","-0.379624","-0.048294","-0.916493","0.116593","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\flak_cannon\flak_cannon","primary_ejection","1","0","0.070085","0.025000","0.051727","-0.379188","0.051605","-0.915441","-0.124586","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\flak_cannon\flak_cannon","primary_trigger","0","0","0.255353","-0.000002","0.007579","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\rocket_launcher\fp_rocket_launcher\fp_rocket_launcher","primary_ejection","0","0","-0.150686","-0.013400","0.036110","-0.000000","0.000000","-1.000000","0.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_high\rocket_launcher\fp_rocket_launcher\fp_rocket_launcher","primary_trigger","0","0","0.282941","-0.013400","0.036110","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 2 Classic","objects\weapons\support_low\brute_shot\fp_brute_shot\fp_brute_shot","primary_trigger","0","1","0.245701","0.000016","0.023315","0.000000","0.000000","-0.000000","-1.000000","0.000000","","",""
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","fx_horizontal_flare","0","0","0.095","0.02","0.02","0","0","0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","fx_horizontal_flare","1","0","0.095","-0.02","0.02","5.55112e-17","-5.55112e-17","-0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","fx_vent","0","0","0.0572506","0.00230355","0.0526528","0.5","-0.5","0.5","0.5","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","primary_trigger","0","0","0.101936","0.00223043","0.0189018","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\plasma_pistol\plasma_pistol","secondary_trigger","0","0","0.101936","0.00223043","0.0189018","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","fx_horizontal_flare","0","0","0.095","0.02","0.02","0","0","0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","fx_horizontal_flare","1","0","0.095","-0.02","0.02","5.55112e-17","-5.55112e-17","-0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","fx_vent","0","0","0.0572506","0.00230355","0.0526528","0.5","-0.5","0.5","0.5","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","primary_trigger","0","0","0.101936","0.00223043","0.0189018","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_bishop_beam\storm_bishop_beam","secondary_trigger","0","0","0.101936","0.00223043","0.0189018","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","fx_horizontal_flare","0","0","0.0807245","0.00752977","0.00492974","0","0","0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","fx_horizontal_flare","1","0","0.0807245","-0.00297142","0.00492974","0","0","-0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","fx_vent","0","0","0.0572506","0.00230355","0.0526528","0.5","-0.5","0.5","0.5","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","primary_trigger","0","0","0.114992","0.00223043","0.0189018","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_burst_pistol\storm_burst_pistol","secondary_trigger","0","0","0.115828","0.00223043","0.0206792","0","-0.211111","0","0.977462","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_magnum\storm_magnum","primary_trigger","0","0","0.0756144","-0.00073","0.0372638","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_needler\storm_needler","horizontal_flare","0","0","0.11006","-0.00928126","0.00703422","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_needler\storm_needler","horizontal_flare","1","0","0.109931","0.0107171","0.00725048","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_needler\storm_needler","primary_trigger","0","0","0.11304","0.00073781","0.00712377","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","fx_vent","0","0","0.051902","0.00223043","0.0485744","0.5","-0.5","0.5","0.5","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","horizontal_flare","0","0","0.102902","0.00223043","0.0140605","0","0","-0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","horizontal_flare","1","0","0.102902","0.00223043","0.0140605","0","0","0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","primary_trigger","0","0","0.105174","0.00223043","0.0181252","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_plasma_pistol\storm_plasma_pistol","secondary_trigger","0","0","0.105727","0.00223043","0.0185515","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","beam_origin","0","7","0.00698545","0.0153607","-1.46491e-08","0.5","0.5","0.5","0.5","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","bottom_plate","0","15","-0.00373653","-0.03133","0.000453565","-0.707107","0.707107","4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","bottom_plate","1","12","0.00373659","0.0313299","-0.000615116","0.707107","0.707107","-4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","fx_vent","0","0","-0.0082","0.0093","0.0279","0","0","0.889005","0.457897","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","fx_vent","1","0","-0.0082","-0.0093","0.0279","-0","-0","-0.889005","0.457897","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","primary_trigger","0","0","0.140222","0","0.011","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_plate","0","8","-0.00073544","0.0310917","-0.00106118","0.707107","0.707107","-4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_plate","1","6","0.00073542","-0.0310916","0.00104593","-0.707107","0.707107","4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_plate_slide","0","8","-0.00073544","0.0310917","0.00297016","0.707107","0.707107","-4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_plate_slide","1","6","0.00073542","-0.0310916","-0.00299135","-0.707107","0.707107","4.32978e-17","4.32978e-17","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_slide","0","0","0.120537","0.0109649","0.0364251","0.707107","0","0","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_stasis_pistol\storm_stasis_pistol","top_slide","1","0","0.120537","-0.011","0.0364251","0.707107","0","0","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_sticky_detonator\storm_sticky_detonator","primary_trigger","0","0","0.0447373","-0.00073","0.0367576","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\storm_target_laser\storm_target_laser","primary_trigger","0","0","0.0637174","0.00300551","0.0510572","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\pistol\target_laser\target_laser","primary_trigger","0","0","0.0637174","0.00300551","0.0510572","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine","fx_vent","0","0","0.228037","9.69931e-17","0.0267904","0","0","0.707107","0.707107","0.025","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine","muzzle_brake","0","0","0.277532","-0.0079","0.0266211","1.8915e-07","-1.4514e-07","-0.608761","0.793353","0.025","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine","muzzle_brake","1","0","0.277532","0.00787675","0.0266211","0","0","0.608762","0.793353","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_carbine\storm_assault_carbine","primary_trigger","0","0","0.300763","9.69931e-17","0.0267904","0","0","0","1","0.025","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","0","0","0.235741","-0.00140194","0.0542503","0.239118","-0.369644","-0.0990458","0.892399","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","1","0","0.235741","-0.00280389","0.0518221","0.653282","-0.270598","-0.270598","0.653281","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","2","0","0.235741","-0.00140194","0.0493939","0.892399","-0.0990458","-0.369644","0.239118","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","3","0","0.235741","0.00140195","0.0493939","-0.892399","-0.0990458","0.369644","0.239118","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","4","0","0.235741","0.00140195","0.0542503","-0.239118","-0.369644","0.0990458","0.892399","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","muzzle_flash","5","0","0.235741","0.00280389","0.0518221","-0.653282","-0.270598","0.270598","0.653281","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_assault_rifle\storm_assault_rifle","primary_trigger","0","0","0.235741","5.76905e-11","0.0518221","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_attach_beam\storm_attach_beam","muzzle_brake","0","0","0.92227","-0.04162","0.101621","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_attach_beam\storm_attach_beam","muzzle_brake","1","0","0.92227","0.04068","0.101621","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_attach_beam\storm_attach_beam","primary_trigger","0","0","0.347848","-7.30237e-12","0.043213","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_beam_rifle\storm_beam_rifle","fx_vent","0","0","0.0845063","0.0103451","0.0622446","0","0","0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_beam_rifle\storm_beam_rifle","fx_vent","1","0","0.0845062","-0.0126482","0.0622446","5.2173e-11","5.21732e-11","-0.707107","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_beam_rifle\storm_beam_rifle","primary_trigger","0","0","0.495207","-5.75986e-05","0.00882774","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","muzzle_flash","0","0","0.223811","-0.00610301","0.0462235","0.819152","-0.573577","3.58063e-08","2.50718e-08","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","muzzle_flash","1","0","0.223811","4.20117e-05","0.0400784","-0.579228","0.40558","0.40558","0.579228","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","muzzle_flash","2","0","0.223811","0.00618703","0.0462235","-3.41878e-08","4.88253e-08","0.573577","0.819152","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","muzzle_flash","3","0","0.223811","4.20131e-05","0.0523685","0.579228","-0.40558","0.40558","0.579228","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_br\storm_br","primary_trigger","0","0","0.232144","4.2014e-05","0.0462235","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_concussion_rifle\storm_concussion_rifle","fx_vent","0","0","0.211516","0.011979","0.0344552","-0.681612","-0.177713","0.188163","0.684411","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_concussion_rifle\storm_concussion_rifle","fx_vent","1","0","0.211523","-0.00987162","0.0344724","0.683013","-0.183013","-0.183013","0.683013","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_concussion_rifle\storm_concussion_rifle","primary_trigger","0","0","0.228987","0.00143634","0.0344724","0.707107","6.18172e-08","6.18172e-08","0.707107","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_covenant_carbine\storm_covenant_carbine","fx_vent","0","0","0.122941","-0.0174735","0.0292813","0","0","-0.258819","0.965926","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_covenant_carbine\storm_covenant_carbine","fx_vent","1","0","0.123132","0.0152878","0.0296721","0","0","0.258819","0.965926","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_covenant_carbine\storm_covenant_carbine","primary_trigger","0","0","0.330597","0","0.0297042","0","0","0","1","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_dmr\storm_dmr","muzzle_flash","0","0","0.260957","1.92296e-17","0.0462235","0","0","-0.5","0.866025","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_dmr\storm_dmr","muzzle_flash","1","0","0.260955","2.6983e-05","0.0462235","0.612372","-0.353553","0.353553","0.612372","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_dmr\storm_dmr","muzzle_flash","2","0","0.260955","2.6983e-05","0.0462235","-0.612372","0.353553","0.353553","0.612372","0.1","1","0","0"
"Halo 4","objects\weapons\rifle\storm_dmr\storm_dmr","muzzle_flash","3","0","0.260955","2.6983e-05","0.0462235","0","0","0.5","0.866025","0.1","1","0","0"
